Province,Gender,Time spent using the internet,Relationship Sat: Friends,Relationship Sat: Relatives or family not living with,Life Satisfaction,Perceived Mental Health,Visible Minority
Ontario,Male,10 to less than 20 hours/week,Somewhat satisfied,Somewhat satisfied,Quite Satisfied,Excellent,Non-visible minority
Ontario,Male,None,Completely satisfied,Completely satisfied,Neither Satisfied nor Dissatisfied,Good,Non-visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Quite Satisfied,Good,Non-visible minority
Ontario,Female,5 to less than 10 hours/week,Completely satisfied,Somewhat satisfied,Somewhat Satisfied,Good,Visible minority
Ontario,Female,Less than 5 hours/week,Somewhat satisfied,Somewhat satisfied,Moderately Satisfied,Good,Non-visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Non-visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Very Good,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Quite Satisfied,Good,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Somewhat satisfied,Somewhat satisfied,Somewhat Satisfied,Very Good,Visible minority
Ontario,Male,5 to less than 10 hours/week,Somewhat satisfied,Somewhat satisfied,Somewhat Satisfied,Very Good,Non-visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Good,Non-visible minority
Ontario,Female,20 to less than 40 hours/week,Completely satisfied,Somewhat satisfied,Neither Satisfied nor Dissatisfied,Very Good,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Good,Non-visible minority
Ontario,Female,20 to less than 40 hours/week,Somewhat satisfied,Somewhat satisfied,Somewhat Satisfied,Good,Non-visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Somewhat satisfied,Very Satisfied,Very Good,Visible minority
Ontario,Male,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Visible minority
